Wall time,Step,Value
1652967143.0017927,1,215.0186767578125
1652973049.14492,2,65.37419891357422
1652980773.4317408,3,50.29601287841797
1652986393.2650976,4,42.99125671386719
1652994283.5590355,5,38.86469268798828
1652999982.9995701,6,36.89025115966797
1653005543.628766,7,31.382110595703125
1653011157.328984,8,30.293119430541992
1653017195.035606,9,26.768415451049805
1653023657.7675433,10,24.194286346435547
1653030467.7832906,11,23.288467407226562
1653037213.34584,12,22.543170928955078
1653043998.0210166,13,21.45127296447754
1653050818.4384177,14,18.807214736938477
1653057540.1614091,15,17.3437557220459
1653064216.1339855,16,16.30756187438965
1653070818.550737,17,15.823509216308594
1653077480.6640546,18,15.461931228637695
1653083993.4850676,19,23.04877281188965
1653090531.3482776,20,19.027122497558594
1653097210.129427,21,16.004426956176758
1653103889.9054441,22,14.015966415405273
1653110585.195799,23,13.12978458404541
1653117134.7999303,24,12.586318016052246
1653123758.7460134,25,12.320405960083008
1653130330.0840454,26,12.513568878173828
1653136952.4051814,27,16.959869384765625
1653143527.4436438,28,15.8385591506958
1653150020.0057123,29,12.82296085357666
1653156566.9916203,30,11.592056274414062
1653163014.32505,31,11.025976181030273
1653169413.0746615,32,10.720429420471191
1653175805.4566894,33,10.71888256072998
1653182229.7497387,34,10.539346694946289
1653188735.5284224,35,10.279325485229492
1653195190.1426883,36,14.981892585754395
1653201703.0169115,37,16.730396270751953
1653208139.1811028,38,11.789469718933105
1653214579.3081472,39,10.464723587036133
1653221022.1269095,40,9.857169151306152
